Country,Score,GDP,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,LGBTQRights,PrisonPopulationRate,DrugUse,AlcoholUse,SuicideRate,Poverty Rate (Percent of Population Under the Poverty Line)
Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,1,93,0.4,0.49,3.68,0.1
China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,15,121,1.84,0.81,8.03,0.03
Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,-60,124,3.77,3.32,19.47,0.7
Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,112,109,0.85,0.88,7.92,0.2
Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,-51,43,2.55,2.05,8.71,0.56
Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,182,86,0.68,0.97,9.57,0.2
Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,-30,198,1.8,0.34,3.71,0.14
Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,37,130,0.51,1.52,9.35,0.22
South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,275,248,1.82,1.64,12.84,0.55
Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,138,164,0.77,0.49,5.6,0.38
Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,84,134,0.66,0.37,3.82,0.96
Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,90,220,0.55,1.91,5.87,0.13
Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,-66,68,1.38,1.43,11.81,0.46
Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,6,295,2.18,2.37,11.51,0.28
Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,64,74,1.1,1.03,5.66,0.23
Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,-104,228,2.68,0.16,4.02,0.18
Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,122,245,1.37,0.96,6.71,0.2
Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,-84,81,0.18,1.3,5.63,0.0004
Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,-37,126,1.9,0.31,4.05,0.25
Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,-91,135,0.81,1.62,14.23,0.04
Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,-141,171,0.99,2.63,8.12,0.02
Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,73,148,10.96,9.5,18.48,0.04
Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,-100,124,0.53,2.48,19.98,0.66
Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,-96,116,0.35,0.24,4.42,0.28
Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,-114,123,0.24,2.2,11.31,0.6
Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,-45,67,2.13,1.98,16.58,0.47
India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,65,35,1.18,1.4,16.5,0.001
Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,80,92,1.96,1.82,28.86,0.5
Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,-53,127,2.6,2.76,19.13,0.72
Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,89,97,0.98,3.77,12.16,0.58
Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,-162,71,0.26,1.71,7.76,0.51
Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,-128,53,1.25,0.56,9.79,0.75
Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,-29,511,0.38,2.37,10.96,0.39
Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,-111,59,0.36,2.28,9.58,0.22
South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,-109,50,0.26,1.53,6.07,0.2
