Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,LGBTQ+ Rights,Poverty Rate (Percent of Population Under the Poverty Line),Prison Population Rate,"Drug Use (Death Rate Per 100,000)","Alcohol Use (Death Rate per 100,00)","Suicide Rate (Death Rate Per 100,000) "
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,-70,0.28,205,1.59,0.32,3.25
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,1,0.1,93,0.4,0.49,3.68
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,15,0.03,121,1.84,0.81,8.03
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,-60,0.7,124,3.77,3.32,19.47
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,112,0.2,109,0.85,0.88,7.92
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,-51,0.56,43,2.55,2.05,8.71
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,182,0.2,86,0.68,0.97,9.57
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,-30,0.14,198,1.8,0.34,3.71
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,37,0.22,130,0.51,1.52,9.35
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,275,0.55,248,1.82,1.64,12.84
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,138,0.38,164,0.77,0.49,5.6
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,84,0.96,134,0.66,0.37,3.82
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,90,0.13,220,0.55,1.91,5.87
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,-66,0.46,68,1.38,1.43,11.81
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,6,0.28,295,2.18,2.37,11.51
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,64,0.23,74,1.1,1.03,5.66
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,-104,0.18,228,2.68,0.16,4.02
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,122,0.2,245,1.37,0.96,6.71
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,-84,0.0004,81,0.18,1.3,5.63
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,-37,0.25,126,1.9,0.31,4.05
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,-91,0.04,135,0.81,1.62,14.23
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,-141,0.02,171,0.99,2.63,8.12
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,73,0.04,148,10.96,9.5,18.48
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,-100,0.66,124,0.53,2.48,19.98
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,-96,0.28,116,0.35,0.24,4.42
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,-114,0.6,123,0.24,2.2,11.31
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,-45,0.47,67,2.13,1.98,16.58
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,65,0.001,35,1.18,1.4,16.5
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,80,0.5,92,1.96,1.82,28.86
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,-53,0.72,127,2.6,2.76,19.13
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,89,0.58,97,0.98,3.77,12.16
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,-162,0.51,71,0.26,1.71,7.76
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,-128,0.75,53,1.25,0.56,9.79
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,-29,0.39,511,0.38,2.37,10.96
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,-111,0.22,59,0.36,2.28,9.58
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,-109,0.2,50,0.26,1.53,6.07
